*************************************
*************************************
*************************************
*** Start Sub-Experiment 0 **********
*************************************
*************************************
*************************************

RUNNING 800 EPISODES

global_epsilon: 0.199534337389, episode_epsilon: 0.31863081771
global_epsilon: 0.199335002387, episode_epsilon: 0.289664379737
global_epsilon: 0.19913586652, episode_epsilon: 0.263331254306
global_epsilon: 0.198936929591, episode_epsilon: 0.909090909091
global_epsilon: 0.198738191399, episode_epsilon: 0.826446280992
global_epsilon: 0.198539651747, episode_epsilon: 0.751314800902
global_epsilon: 0.198341310437, episode_epsilon: 0.683013455365
global_epsilon: 0.19814316727, episode_epsilon: 0.909090909091
global_epsilon: 0.197945222048, episode_epsilon: 0.826446280992
global_epsilon: 0.197747474573, episode_epsilon: 0.751314800902
global_epsilon: 0.197549924649, episode_epsilon: 0.683013455365
global_epsilon: 0.197352572076, episode_epsilon: 0.909090909091
global_epsilon: 0.19715541666, episode_epsilon: 0.826446280992
global_epsilon: 0.196958458202, episode_epsilon: 0.751314800902
global_epsilon: 0.196761696505, episode_epsilon: 0.683013455365
global_epsilon: 0.196565131374, episode_epsilon: 0.620921323059
global_epsilon: 0.196368762611, episode_epsilon: 0.564473930054
global_epsilon: 0.196172590021, episode_epsilon: 0.513158118231
global_epsilon: 0.195976613408, episode_epsilon: 0.46650738021
##################################
The policy has converged

TOTAL STEPS: 426, EPISODE STEPS: 8
##################################
##################################

AVERAGE RETURNS FROM START STATE: 0.514453654741


*************************************
*************************************
*************************************
*** Start Sub-Experiment 1 **********
*************************************
*************************************
*************************************

RUNNING 800 EPISODES

global_epsilon: 0.2997002997, episode_epsilon: 0.909090909091
global_epsilon: 0.299400898801, episode_epsilon: 0.826446280992
global_epsilon: 0.299101797004, episode_epsilon: 0.751314800902
global_epsilon: 0.29880299401, episode_epsilon: 0.683013455365
global_epsilon: 0.298504489521, episode_epsilon: 0.620921323059
global_epsilon: 0.298206283238, episode_epsilon: 0.564473930054
global_epsilon: 0.297908374863, episode_epsilon: 0.513158118231
global_epsilon: 0.297610764099, episode_epsilon: 0.46650738021
global_epsilon: 0.297313450648, episode_epsilon: 0.424097618372
global_epsilon: 0.297016434214, episode_epsilon: 0.38554328943
global_epsilon: 0.296719714499, episode_epsilon: 0.350493899481
